date,store,category,item,quantity,unit_price,revenue
2026-03-12,Airport,sandwich,Veggie Wrap,3,7.05,21.15
2026-03-31,Riverside,coffee,Latte,2,4.1,8.2
2026-05-02,Downtown,tea,Green Tea,3,3.05,9.15
2026-03-22,Downtown,pastry,Muffin,4,3.0,12.0
2026-06-05,Airport,sandwich,Turkey Club,6,7.3,43.8
2026-03-17,Downtown,tea,Chai Latte,4,4.18,16.72
2026-06-02,Airport,merch,Bag of Beans,1,14.92,14.92
2026-05-29,Downtown,merch,Mug,3,12.1,36.3
2026-04-28,Riverside,coffee,Cappuccino,4,3.82,15.28
2026-04-30,Riverside,pastry,Scone,6,3.25,19.5
2026-04-22,Uptown,sandwich,BLT,4,6.77,27.08
2026-01-24,Uptown,sandwich,BLT,2,7.25,14.5
2026-06-04,Uptown,tea,Iced Tea,3,2.79,8.37
2026-02-26,Uptown,tea,Iced Tea,2,2.8,5.6
2026-03-17,Riverside,pastry,Scone,3,2.99,8.97
2026-05-03,Riverside,coffee,Cappuccino,4,4.12,16.48
2026-03-16,Downtown,coffee,Espresso,2,2.5,5.0
2026-02-14,Airport,sandwich,BLT,5,6.68,33.4
2026-04-28,Uptown,merch,Mug,5,12.21,61.05
2026-05-02,Downtown,coffee,Drip Coffee,5,2.82,14.1
2026-01-23,Riverside,coffee,Espresso,8,2.39,19.12
2026-01-05,Airport,coffee,Latte,4,4.23,16.92
2026-04-08,Uptown,sandwich,Veggie Wrap,6,6.62,39.72
2026-06-11,Downtown,coffee,Latte,5,4.07,20.35
2026-03-02,Airport,tea,Chai Latte,1,4.16,4.16
2026-01-24,Riverside,merch,Gift Card,2,24.18,48.36
2026-06-16,Airport,pastry,Scone,1,3.09,3.09
2026-05-14,Riverside,pastry,Muffin,2,3.05,6.1
2026-06-08,Downtown,merch,Bag of Beans,4,14.12,56.48
2026-05-26,Downtown,tea,Iced Tea,2,2.77,5.54
2026-06-05,Riverside,coffee,Cappuccino,5,4.09,20.45
2026-02-18,Riverside,merch,Gift Card,1,24.58,24.58
2026-06-21,Airport,coffee,Drip Coffee,4,2.63,10.52
2026-03-16,Riverside,pastry,Croissant,3,3.13,9.39
2026-02-27,Uptown,sandwich,BLT,2,6.71,13.42
2026-05-30,Riverside,sandwich,BLT,7,7.25,50.75
2026-03-03,Downtown,coffee,Latte,4,4.3,17.2
2026-06-07,Riverside,tea,Iced Tea,2,2.87,5.74
2026-02-03,Downtown,tea,Iced Tea,2,2.71,5.42
2026-03-18,Uptown,sandwich,BLT,5,6.97,34.85
2026-05-23,Riverside,merch,Gift Card,5,24.86,124.3
2026-04-08,Riverside,,Scone,2,3.19,6.38
2026-01-15,Uptown,tea,Iced Tea,3,2.77,8.31
2026-05-10,Airport,pastry,Scone,2,3.05,6.1
2026-01-11,Downtown,pastry,Muffin,4,2.92,11.68
2026-05-25,Riverside,tea,Green Tea,3,3.03,9.09
2026-06-18,Uptown,tea,Chai Latte,3,4.11,12.33
2026-01-08,Airport,pastry,Croissant,1,3.41,3.41
2026-03-17,Airport,coffee,Latte,2,4.31,8.62
2026-02-12,Airport,merch,Mug,4,12.56,50.24
2026-06-08,Uptown,sandwich,BLT,5,6.71,33.55
2026-02-15,Airport,coffee,Espresso,4,2.59,10.36
2026-06-06,Riverside,sandwich,Turkey Club,5,7.73,38.65
2026-02-04,Airport,sandwich,Veggie Wrap,1,6.67,6.67
2026-04-14,Riverside,coffee,Latte,4,4.35,17.4
2026-03-23,Uptown,tea,Chai Latte,5,3.97,19.85
2026-04-11,Riverside,tea,Chai Latte,4,3.97,15.88
2026-06-16,Airport,tea,Green Tea,4,2.87,11.48
2026-06-05,,tea,Chai Latte,8,3.94,31.52
2026-04-20,Airport,sandwich,Turkey Club,2,7.62,15.24
2026-06-13,Uptown,sandwich,Veggie Wrap,7,6.54,45.78
2026-02-24,Airport,tea,Iced Tea,3,2.84,8.52
2026-03-05,Riverside,tea,Green Tea,1,2.92,2.92
2026-01-25,Uptown,sandwich,Veggie Wrap,2,6.51,13.02
2026-02-25,Downtown,tea,Iced Tea,1,2.81,2.81
2026-05-12,Downtown,coffee,Latte,4,4.11,16.44
2026-05-01,Downtown,coffee,Latte,10,4.1,41.0
2026-03-08,Riverside,tea,Chai Latte,2,4.1,8.2
2026-04-09,Airport,merch,Gift Card,2,25.53,51.06
2026-06-28,Riverside,pastry,Scone,4,3.06,12.24
2026-02-08,Uptown,coffee,Latte,2,4.25,8.5
2026-05-22,Uptown,tea,Chai Latte,6,3.94,23.64
2026-02-09,Uptown,merch,Gift Card,4,24.17,96.68
2026-04-04,Riverside,coffee,Latte,6,4.33,25.98
2026-04-17,Downtown,pastry,Croissant,5,3.2,16.0
2026-01-02,Downtown,coffee,Drip Coffee,3,2.72,8.16
2026-01-23,Downtown,pastry,Muffin,10,2.93,29.3
2026-01-02,Airport,tea,Iced Tea,4,2.88,11.52
2026-05-27,Downtown,coffee,Latte,4,4.06,16.24
2026-01-12,Uptown,coffee,Cappuccino,3,3.8,11.4
2026-03-14,Uptown,sandwich,Veggie Wrap,4,6.84,27.36
2026-06-24,Airport,sandwich,Turkey Club,1,7.26,7.26
2026-02-12,Uptown,pastry,Scone,1,3.08,3.08
2026-05-24,Uptown,tea,Iced Tea,3,2.79,8.37
2026-05-22,Uptown,tea,Chai Latte,2,3.88,7.76
2026-05-16,Airport,tea,Chai Latte,10,3.86,38.6
2026-04-09,Riverside,coffee,Drip Coffee,2,2.81,5.62
2026-01-19,Downtown,coffee,Drip Coffee,5,2.68,13.4
2026-05-02,Riverside,sandwich,Veggie Wrap,5,6.94,34.7
2026-01-04,Downtown,tea,Green Tea,3,3.07,9.21
2026-02-02,Downtown,pastry,Croissant,1,3.13,3.13
2026-05-02,Riverside,tea,Iced Tea,1,2.78,2.78
2026-05-22,Riverside,tea,Green Tea,3,2.95,8.85
2026-01-16,Downtown,pastry,Croissant,3,3.29,9.87
2026-03-01,Riverside,sandwich,BLT,5,7.14,35.7
2026-03-14,Uptown,sandwich,Veggie Wrap,5,6.62,33.1
2026-03-10,Riverside,merch,Mug,3,12.3,36.9
2026-04-09,Riverside,pastry,Muffin,2,2.89,5.78
2026-03-25,Riverside,tea,Green Tea,4,2.86,11.44
2026-06-02,Riverside,coffee,Drip Coffee,4,2.66,10.64
2026-02-28,Airport,coffee,Cappuccino,1,3.91,3.91
2026-04-16,Airport,pastry,Scone,5,3.25,16.25
2026-06-20,Uptown,coffee,Drip Coffee,5,2.82,14.1
2026-04-26,Airport,pastry,Muffin,3,3.08,9.24
2026-06-18,Riverside,pastry,Croissant,1,3.33,3.33
2026-04-12,Uptown,pastry,Croissant,5,3.1,15.5
2026-04-08,Airport,merch,Mug,1,11.81,11.81
2026-01-27,Airport,pastry,Scone,2,3.25,6.5
2026-01-03,Airport,tea,Green Tea,6,3.1,18.6
2026-02-18,Airport,coffee,Latte,1,4.33,4.33
2026-03-25,Airport,coffee,Cappuccino,2,4.18,8.36
2026-04-25,Airport,pastry,Croissant,2,3.33,6.66
2026-06-09,Downtown,coffee,Drip Coffee,3,2.8,8.4
2026-06-03,Riverside,coffee,Drip Coffee,3,2.7,8.1
2026-06-24,Riverside,sandwich,Turkey Club,2,7.75,15.5
2026-03-29,Riverside,pastry,Muffin,4,3.12,12.48
2026-04-28,Airport,coffee,Drip Coffee,3,2.78,8.34
2026-02-19,Downtown,coffee,Latte,4,4.4,17.6
2026-06-04,Downtown,merch,Bag of Beans,2,13.84,27.68
2026-03-14,Airport,pastry,Scone,6,3.1,18.6
2026-04-09,Riverside,sandwich,BLT,1,6.84,6.84
2026-06-10,Uptown,merch,Gift Card,1,24.65,24.65
2026-03-29,Airport,sandwich,Turkey Club,3,7.67,23.01
2026-04-18,Downtown,sandwich,BLT,4,7.25,29.0
2026-05-26,Riverside,coffee,Espresso,3,2.45,7.35
2026-06-01,Riverside,pastry,Muffin,3,3.11,9.33
2026-04-03,Uptown,tea,Iced Tea,6,2.71,16.26
2026-06-15,Uptown,tea,Chai Latte,3,4.06,12.18
2026-03-10,Airport,sandwich,Veggie Wrap,5,6.93,34.65
2026-03-22,Uptown,tea,Chai Latte,6,3.92,23.52
2026-04-15,Downtown,coffee,Latte,2,4.23,8.46
2026-04-23,Riverside,coffee,Cappuccino,2,3.84,7.68
2026-06-29,Downtown,merch,Bag of Beans,4,14.95,59.8
2026-02-21,Downtown,coffee,Latte,1,4.34,4.34
2026-03-30,Riverside,tea,Iced Tea,3,2.75,8.25
2026-05-28,Downtown,tea,Chai Latte,3,4.17,12.51
2026-01-29,Riverside,tea,Iced Tea,3,2.63,7.89
2026-06-29,Downtown,coffee,Espresso,4,2.58,10.32
2026-04-28,Riverside,pastry,Muffin,2,2.92,5.84
2026-04-14,Uptown,merch,Gift Card,4,25.49,101.96
2026-04-07,Downtown,tea,Iced Tea,4,2.76,11.04
2026-03-27,Uptown,coffee,Espresso,2,2.4,4.8
2026-06-06,Airport,pastry,Croissant,8,3.41,27.28
2026-05-01,Airport,tea,Iced Tea,4,2.63,10.52
2026-01-08,Riverside,sandwich,Turkey Club,4,7.72,30.88
2026-03-21,Riverside,coffee,Latte,2,4.31,8.62
2026-06-05,Uptown,coffee,Latte,1,4.08,4.08
2026-06-30,Riverside,coffee,Drip Coffee,4,2.85,11.4
2026-05-12,Downtown,sandwich,Turkey Club,5,7.57,37.85
2026-01-01,Airport,merch,Bag of Beans,3,13.85,41.55
2026-06-19,Airport,sandwich,BLT,4,7.29,29.16
2026-06-27,Riverside,sandwich,BLT,3,7.2,21.6
2026-01-06,Airport,,Muffin,2,3.01,6.02
2026-03-19,Airport,sandwich,Turkey Club,3,7.17,21.51
2026-04-28,Airport,coffee,Cappuccino,1,4.04,4.04
2026-06-08,Downtown,pastry,Croissant,4,3.32,13.28
2026-02-09,Uptown,coffee,Latte,2,4.29,8.58
2026-05-30,Downtown,coffee,Drip Coffee,5,2.83,14.15
2026-03-23,Riverside,merch,Mug,3,12.02,36.06
2026-01-15,Riverside,sandwich,BLT,2,6.72,13.44
2026-03-22,Downtown,sandwich,BLT,3,6.92,20.76
2026-01-07,,pastry,Scone,1,2.97,2.97
2026-04-08,Riverside,tea,Iced Tea,4,2.63,10.52
2026-03-11,Riverside,merch,Gift Card,5,24.8,124.0
2026-01-16,Uptown,coffee,Espresso,6,2.61,15.66
2026-05-05,Riverside,coffee,Drip Coffee,3,2.62,7.86
2026-05-06,Uptown,coffee,Drip Coffee,2,2.74,5.48
2026-03-29,Downtown,sandwich,BLT,3,6.73,20.19
2026-01-19,Downtown,pastry,Scone,2,3.13,6.26
2026-01-25,Uptown,coffee,Espresso,5,2.48,12.4
2026-05-21,Downtown,coffee,Drip Coffee,3,2.88,8.64
2026-05-02,Airport,coffee,Latte,3,4.11,12.33
2026-02-03,Downtown,merch,Gift Card,5,25.37,126.85
2026-01-01,Riverside,pastry,Muffin,1,3.05,3.05
2026-02-17,Riverside,merch,Bag of Beans,2,15.01,30.02
2026-05-10,Airport,tea,Iced Tea,4,2.63,10.52
2026-03-22,Airport,tea,Chai Latte,4,3.98,15.92
2026-01-28,Airport,tea,Chai Latte,2,3.92,7.84
2026-06-12,Uptown,merch,Gift Card,4,24.7,98.8
2026-01-20,Downtown,pastry,Scone,4,2.95,11.8
2026-05-12,Uptown,pastry,Scone,5,3.17,15.85
2026-02-28,Downtown,sandwich,Turkey Club,6,7.35,44.1
2026-02-27,Uptown,merch,Gift Card,6,23.98,143.88
2026-06-16,Uptown,coffee,Espresso,3,2.57,7.71
2026-02-13,Uptown,coffee,Cappuccino,9,3.89,35.01
2026-01-26,Uptown,sandwich,Turkey Club,3,7.8,23.4
2026-01-04,Airport,tea,Green Tea,1,2.9,2.9
2026-04-08,Riverside,sandwich,BLT,3,7.0,21.0
2026-06-26,Uptown,tea,Iced Tea,3,2.72,8.16
2026-01-23,Airport,tea,Iced Tea,3,2.88,8.64
2026-03-28,Airport,coffee,Drip Coffee,5,2.64,13.2
2026-04-27,Uptown,pastry,Muffin,3,2.94,8.82
2026-03-13,Riverside,coffee,Drip Coffee,3,2.86,8.58
2026-06-06,Downtown,tea,Iced Tea,6,2.87,17.22
2026-05-02,Downtown,pastry,Muffin,3,2.95,8.85
2026-03-22,Uptown,tea,Green Tea,2,3.04,6.08
2026-04-20,Riverside,tea,Chai Latte,4,3.98,15.92
2026-06-21,Airport,pastry,Muffin,4,2.95,11.8
2026-06-08,Airport,merch,Bag of Beans,5,14.37,71.85
2026-02-14,Riverside,pastry,Croissant,3,3.33,9.99
2026-01-15,Uptown,coffee,Latte,2,4.11,8.22
2026-02-04,Airport,sandwich,Veggie Wrap,1,6.67,6.67
2026-05-03,Uptown,tea,Green Tea,1,2.93,2.93
2026-02-19,Riverside,tea,Green Tea,3,2.87,8.61
2026-01-17,Uptown,sandwich,Veggie Wrap,2,6.55,13.1
2026-06-29,Airport,merch,Mug,2,12.01,24.02
2026-03-11,Uptown,merch,Gift Card,2,24.09,48.18
2026-03-18,Downtown,tea,Chai Latte,1,4.02,4.02
2026-06-02,Downtown,pastry,Scone,6,3.11,18.66
2026-02-28,Airport,sandwich,Veggie Wrap,1,6.62,6.62
2026-01-19,Downtown,coffee,Espresso,5,2.39,11.95
2026-02-10,Uptown,pastry,Scone,3,3.25,9.75
2026-02-23,Airport,merch,Mug,6,12.51,75.06
2026-04-03,Downtown,tea,Chai Latte,4,4.08,16.32
2026-05-28,Uptown,merch,Gift Card,6,24.34,146.04
2026-06-27,Uptown,merch,Bag of Beans,1,13.84,13.84
2026-01-21,Airport,merch,Mug,2,12.28,24.56
2026-05-30,Downtown,pastry,Muffin,6,2.99,17.94
2026-05-22,Uptown,pastry,Croissant,3,3.29,9.87
2026-03-01,Uptown,sandwich,Turkey Club,4,7.17,28.68
2026-03-12,Uptown,merch,Mug,4,12.01,48.04
2026-03-19,Airport,merch,Gift Card,3,26.25,78.75
2026-02-24,Riverside,merch,Bag of Beans,6,15.05,90.3
2026-06-19,Airport,pastry,Croissant,6,3.15,18.9
2026-06-17,Downtown,coffee,Latte,2,4.46,8.92
2026-06-24,Uptown,sandwich,BLT,3,6.94,20.82
2026-06-13,Riverside,sandwich,Veggie Wrap,5,6.82,34.1
2026-01-26,Riverside,pastry,Croissant,3,3.1,9.3
2026-03-12,Uptown,coffee,Cappuccino,2,3.83,7.66
2026-03-15,Downtown,sandwich,BLT,2,6.97,13.94
2026-06-15,Riverside,coffee,Latte,4,4.11,16.44
2026-03-01,Airport,coffee,Drip Coffee,4,2.7,10.8
2026-06-29,Downtown,coffee,Latte,5,4.22,21.1
2026-06-15,Downtown,pastry,Scone,6,3.02,18.12
2026-03-27,Airport,merch,Gift Card,2,24.89,49.78
2026-04-18,Uptown,tea,Chai Latte,3,4.12,12.36
2026-03-24,Airport,pastry,Scone,2,3.08,6.16
2026-05-18,Airport,tea,Chai Latte,3,3.83,11.49
2026-06-27,Downtown,pastry,Scone,4,3.13,12.52
2026-05-04,Riverside,merch,Mug,2,12.02,24.04
2026-03-07,Riverside,merch,Mug,1,11.54,11.54
2026-05-21,Airport,tea,Chai Latte,1,4.15,4.15
2026-02-05,Downtown,merch,Bag of Beans,2,14.87,29.74
2026-06-23,Airport,coffee,Latte,4,4.43,17.72
2026-01-18,Riverside,sandwich,BLT,3,6.87,20.61
2026-03-28,Riverside,tea,Chai Latte,4,3.83,15.32
2026-02-07,Riverside,tea,Green Tea,8,2.93,23.44
2026-05-04,Downtown,pastry,Croissant,2,3.09,6.18
2026-03-15,Airport,pastry,Scone,4,3.03,12.12
2026-02-18,Riverside,merch,Gift Card,1,24.58,24.58
2026-01-28,Uptown,sandwich,Turkey Club,5,7.77,38.85
2026-05-24,Uptown,merch,Bag of Beans,4,14.65,58.6
2026-05-13,Airport,pastry,Croissant,3,3.11,9.33
2026-02-19,Downtown,sandwich,Veggie Wrap,3,6.59,19.77
2026-01-17,Downtown,sandwich,Veggie Wrap,8,6.8,54.4
2026-02-03,Downtown,pastry,Scone,1,3.04,3.04
2026-03-26,Downtown,sandwich,Turkey Club,4,7.69,30.76
2026-05-25,Riverside,tea,Green Tea,3,3.03,9.09
2026-01-12,Airport,sandwich,Turkey Club,5,7.36,36.8
2026-04-05,Riverside,coffee,Cappuccino,4,4.12,16.48
2026-02-24,Riverside,tea,Iced Tea,4,2.8,11.2
2026-01-21,Riverside,merch,Bag of Beans,1,14.11,14.11
2026-03-28,Riverside,pastry,Scone,2,3.0,6.0
2026-01-20,Downtown,tea,Green Tea,4,2.99,11.96
2026-04-12,Downtown,,Cappuccino,1,4.07,4.07
2026-06-13,Downtown,sandwich,Veggie Wrap,1,6.53,6.53
2026-06-13,,coffee,Espresso,1,2.54,2.54
2026-01-22,Airport,tea,Chai Latte,1,4.15,4.15
2026-05-11,Riverside,merch,Gift Card,1,24.65,24.65
2026-05-18,Riverside,sandwich,BLT,3,6.65,19.95
2026-05-25,Uptown,coffee,Espresso,3,2.58,7.74
2026-02-11,Riverside,pastry,Muffin,3,3.12,9.36
2026-03-22,Riverside,pastry,Muffin,4,3.06,12.24
2026-03-20,Airport,sandwich,BLT,5,6.77,33.85
2026-04-15,Uptown,sandwich,BLT,3,7.22,21.66
2026-05-18,Uptown,merch,Mug,3,11.65,34.95
2026-02-10,Riverside,coffee,Latte,3,4.15,12.45
2026-06-08,Uptown,coffee,Drip Coffee,2,2.78,5.56
2026-01-21,Uptown,pastry,Muffin,3,3.1,9.3
2026-03-26,Downtown,coffee,Drip Coffee,6,2.77,16.62
2026-05-24,Uptown,merch,Bag of Beans,2,15.21,30.42
2026-04-29,Airport,pastry,Scone,2,2.98,5.96
2026-02-21,Airport,tea,Green Tea,2,2.86,5.72
2026-03-05,Uptown,coffee,Cappuccino,4,3.82,15.28
2026-02-27,Riverside,pastry,Muffin,4,2.88,11.52
2026-04-17,Riverside,pastry,Croissant,4,3.19,12.76
2026-06-16,Airport,coffee,Drip Coffee,2,2.63,5.26
2026-04-07,Downtown,pastry,Scone,2,3.23,6.46
2026-01-10,Airport,tea,Chai Latte,6,3.86,23.16
2026-02-19,Uptown,pastry,Scone,5,3.18,15.9
2026-06-02,Airport,coffee,Latte,2,4.32,8.64
2026-06-08,Riverside,coffee,Drip Coffee,1,2.78,2.78
2026-06-14,Riverside,merch,Gift Card,4,26.15,104.6
2026-06-04,Airport,merch,Gift Card,4,26.17,104.68
2026-03-29,Riverside,coffee,Espresso,3,2.49,7.47
2026-04-12,Airport,coffee,Latte,2,4.29,8.58
2026-01-10,Airport,merch,Gift Card,8,24.31,194.48
2026-02-28,Airport,merch,Mug,2,12.38,24.76
2026-03-12,Uptown,merch,Gift Card,6,24.49,146.94
2026-03-13,Riverside,tea,Green Tea,5,2.9,14.5
2026-01-27,Downtown,tea,Chai Latte,1,4.16,4.16
2026-04-15,Uptown,sandwich,Turkey Club,3,7.31,21.93
2026-04-28,Airport,coffee,Drip Coffee,3,2.78,8.34
2026-05-07,Airport,pastry,Croissant,4,3.2,12.8
2026-02-12,Airport,sandwich,Turkey Club,3,7.32,21.96
2026-03-17,Downtown,pastry,Muffin,4,2.86,11.44
2026-06-28,Downtown,tea,Chai Latte,,4.06,12.18
2026-05-23,Riverside,pastry,Croissant,3,3.19,9.57
2026-02-05,Airport,coffee,Latte,5,4.37,21.85
2026-01-12,Uptown,sandwich,Veggie Wrap,3,6.46,19.38
2026-06-04,Downtown,pastry,Croissant,3,3.37,10.11
2026-02-27,Airport,sandwich,Veggie Wrap,4,6.9,27.6
2026-03-26,Uptown,pastry,Muffin,4,2.92,11.68
2026-06-20,Downtown,tea,Green Tea,2,2.96,5.92
2026-02-22,Airport,merch,Bag of Beans,4,14.46,57.84
2026-05-24,Downtown,merch,Gift Card,1,25.48,25.48
2026-04-08,Airport,pastry,Croissant,5,3.17,15.85
2026-04-23,Downtown,coffee,Latte,3,4.14,12.42
2026-01-12,Airport,coffee,Cappuccino,4,,16.08
2026-03-02,Airport,pastry,Scone,1,3.01,3.01
2026-04-05,Downtown,pastry,Scone,2,3.25,6.5
2026-02-19,Riverside,pastry,Muffin,4,3.14,12.56
2026-04-27,Airport,pastry,Muffin,4,3.14,12.56
2026-06-02,Riverside,sandwich,Turkey Club,1,7.26,7.26
2026-03-29,Uptown,merch,Bag of Beans,4,14.66,58.64
2026-06-15,Riverside,pastry,Croissant,3,3.28,9.84
2026-03-30,Downtown,merch,Bag of Beans,3,15.19,45.57
2026-02-16,Riverside,pastry,Muffin,3,3.09,9.27
2026-01-06,Downtown,sandwich,Veggie Wrap,2,6.92,13.84
2026-03-02,Airport,coffee,Espresso,4,2.59,10.36
2026-02-16,Downtown,merch,Bag of Beans,5,14.97,74.85
2026-06-23,Riverside,sandwich,Veggie Wrap,5,6.8,34.0
2026-05-05,Riverside,coffee,Latte,5,4.32,21.6
2026-06-10,Riverside,merch,Gift Card,3,24.81,74.43
2026-03-24,Uptown,tea,Chai Latte,4,4.05,16.2
2026-04-06,Airport,merch,Bag of Beans,5,14.61,73.05
2026-05-24,Riverside,merch,Bag of Beans,2,14.32,28.64
2026-04-27,Uptown,merch,Gift Card,3,24.83,74.49
2026-02-03,Airport,sandwich,BLT,1,7.18,7.18
2026-02-19,Uptown,tea,Chai Latte,4,3.92,15.68
2026-01-10,Riverside,merch,Gift Card,2,25.47,50.94
2026-06-06,Riverside,coffee,Drip Coffee,7,2.75,19.25
2026-01-19,Airport,sandwich,Turkey Club,6,7.85,47.1
2026-06-10,Riverside,sandwich,BLT,2,6.97,13.94
2026-01-03,Uptown,tea,Chai Latte,3,3.91,11.73
2026-01-16,Riverside,tea,Iced Tea,6,2.77,16.62
2026-01-15,Riverside,pastry,Scone,3,2.98,8.94
2026-01-14,Uptown,coffee,Espresso,4,2.41,9.64
2026-06-26,Uptown,tea,Green Tea,6,3.11,18.66
2026-05-24,Airport,merch,Bag of Beans,4,14.09,56.36
2026-04-29,Downtown,pastry,Croissant,4,3.36,13.44
2026-01-30,Uptown,pastry,Croissant,7,3.2,22.4
2026-03-10,Downtown,sandwich,Turkey Club,2,7.25,14.5
2026-03-10,Downtown,sandwich,BLT,6,7.13,42.78
2026-04-07,Airport,pastry,Scone,4,3.21,12.84
2026-06-25,Downtown,pastry,Scone,2,2.95,5.9
2026-04-01,Airport,tea,Iced Tea,2,2.66,5.32
2026-04-05,Airport,pastry,Croissant,2,3.36,6.72
2026-04-20,Downtown,merch,Mug,6,12.48,74.88
2026-04-06,Airport,tea,Iced Tea,2,2.72,5.44
2026-04-06,Uptown,merch,Gift Card,3,24.5,73.5
2026-06-03,Downtown,pastry,Muffin,1,3.02,3.02
2026-01-23,Downtown,coffee,Latte,2,4.45,8.9
2026-05-13,Airport,pastry,Scone,1,3.01,3.01
2026-04-09,Riverside,merch,Bag of Beans,4,15.17,60.68
